"cell_line","gene","expression","subtype"
"MM453","HS3ST1",3.970391049,"TNBC"
"MM453","PLB1",0,"TNBC"
"MM453","SULT2B1",6.087344912,"TNBC"
"MM453","UnknownGene",1.186554185,"TNBC"
"MM468","BNIPL",4.375260367,"TNBC"
"MM468","CACNG4",5.213371994,"TNBC"
"MM468","CPE",3.801338439,"TNBC"
"MM468","CYP2T2P",2.833962089,"TNBC"
"MM468","FAM176A",7.935751885,"TNBC"
"MM468","GRHL2",10.37119174,"TNBC"
"MM468","HS3ST1",5.500622479,"TNBC"
"MM468","PLB1",4.421850877,"TNBC"
"MM468","SULT2B1",8.521425765,"TNBC"
"MM468","UnknownGene",1.240184943,"TNBC"
"SKBR3","BNIPL",3.712135919,"HER2."
"SKBR3","CACNG4",7.627312117,"HER2."
"SKBR3","CPE",10.74312933,"HER2."
"SKBR3","CYP2T2P",4.966456058,"HER2."
"SKBR3","FAM176A",1.593419257,"HER2."
"SKBR3","GRHL2",8.858129253,"HER2."
"SKBR3","HS3ST1",2.009510374,"HER2."
"SKBR3","PLB1",3.712135919,"HER2."
"SKBR3","SULT2B1",4.333964016,"HER2."
"SKBR3","UnknownGene",1.593419257,"HER2."
"SKBR7","BNIPL",2.340679873,"HER2."
"SKBR7","CACNG4",8.110779382,"HER2."
"SKBR7","CPE",5.855884595,"HER2."
"SKBR7","CYP2T2P",2.340679873,"HER2."
"SKBR7","FAM176A",0,"HER2."
"SKBR7","GRHL2",1.600605859,"HER2."
"SKBR7","HS3ST1",0,"HER2."
"SKBR7","PLB1",2.017586906,"HER2."
"SKBR7","SULT2B1",5.110181827,"HER2."
"SKBR7","UnknownGene",2.604490338,"HER2."
"T47D","BNIPL",9.812884727,"ER."
"T47D","CACNG4",10.0357099,"ER."
"T47D","CPE",10.58492207,"ER."
"T47D","CYP2T2P",6.778923296,"ER."
"T47D","FAM176A",0.973030184,"ER."
"T47D","GRHL2",11.50446395,"ER."
"T47D","HS3ST1",0,"ER."
"T47D","PLB1",1.548889532,"ER."
"T47D","SULT2B1",7.979181369,"ER."
"T47D","UnknownGene",0,"ER."
"ZR7530","BNIPL",8.601847172,"ER."
"ZR7530","CACNG4",10.88926141,"ER."
"ZR7530","CPE",11.23050659,"ER."
"ZR7530","CYP2T2P",4.615715225,"ER."
"ZR7530","FAM176A",0,"ER."
"ZR7530","GRHL2",11.07645414,"ER."
"ZR7530","HS3ST1",3.350827534,"ER."
"ZR7530","PLB1",2.834891246,"ER."
"ZR7530","SULT2B1",7.759845862,"ER."
"ZR7530","UnknownGene",0,"ER."
